Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PVC,SPA,XMAS PACK KIANTY BV 2016,Bruno Vassary,2,1,59.65,81.97,73.77,70.08
PV,Hair Salon,02 COLOR CARE AMPOLLAS,SILKY,0,10,0.00,0.00,0.00,0.00
PV,Hair Salon,03 DELI CARE AMPOLLAS,SILKY,0,10,0.00,0.00,0.00,0.00
PV,Hair Salon,03 DELI CARE AMPOLLAS,SILKY,36,10,0.00,0.00,0.00,0.00
PV,Hair Salon,ABSOLUT REPAIR SHAMPOO 250ML,LOREAL,1,1,17.00,25.09,22.58,21.45
PC,SPA,aceite de coco para dar masaje,Otros,1,1,0,0,0,0
PC,Nail Bar,ACRYLIC & GEL ,Otros,2,1,0,0,0,0
PVC,SPA,AG SORBET RICH HIDRATANTE PIELES NORMAL A SECA 50ML,Bruno Vassary,2,1,49.00,67.33,60.60,57.57
PVC,SPA,AGE CONTROL HAND CREAM CREMA REPARADORA DE MANOS Y UNNAS 75ML,Bruno Vassary,2,1,8.00,10.99,9.89,9.40
PC,Nail Bar,alicate grambeel,Otros,1,1,9.821428571,0,0,0
PV,Hair Salon,AMPOLLA KERASTASE SP AMINEXIL FORCER 6MLX10V315,KERASTASE,16,10,5.70,8.41,7.57,7.19
PV,Hair Salon,AMPOLLAS AMINEXIL CONTROL 10X,LOREAL,8,10,4.27,6.30,5.67,5.39
PV,Hair Salon,AMPOLLAS BOTOX,SILKY,0,10,0.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS EQUILIBRANTE PIELES GRASAS,Bruno Vassary,2,10,4.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS GLYCOLIC TREATMENT AHA,Bruno Vassary,8,10,4.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS HIDRATANTE,Bruno Vassary,4,10,4.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS LACRIME DE UVA,Bruno Vassary,4,10,4.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS RETINOL PLUS,Bruno Vassary,2,10,4.00,0.00,0.00,0.00
PC,SPA,AMPOLLAS FACIAL CONCENTRADOS REVITALIZANTE,Bruno Vassary,1,10,4.00,0.00,0.00,0.00
PV,Hair Salon,AMPOLLAS KERATIN REFILL POWERDOSE 30X10ML,LOREAL,15,10,7.96,11.75,10.57,10.04
PV,Hair Salon,AMPOLLAS LIPIDIUM ABS REP POWERD 30X10ML,LOREAL,90,30,7.97,11.76,10.58,10.05
PV,Hair Salon,AMPOLLAS LISS UNLIMITED PROTECT OIL 15*12ML ,LOREAL,10,10,4.56,6.73,6.06,5.75
PV,Hair Salon,AMPOLLAS LUMINO CONTRAST POWERDOSE ,LOREAL,21,10,8.07,11.92,10.72,10.19
PV,Hair Salon,AMPOLLAS VITACOLOR POWERD 15*10ML VA16,LOREAL,4,10,8.07,11.92,10.72,10.19
PVC,SPA,ANTI AGE SUN CREAM SPF 30 50ML,Bruno Vassary,2,1,24.00,32.98,29.68,28.20
PV,SPA,ANTIAGE SUN CREAM SPF 50 50ML,Bruno Vassary,1,1,26.00,35.73,32.15,30.55
PC,Hair Salon,ANTIFRIZZ BOTOX CERO FRIZZ 2 PASOS 1000ML,SILKY,1,1,0,0,0,0
PC,Hair Salon,aplicador de tinte vacio,Otros,1,1,0,0,0,0
PVC,SPA,AQUA TONER TONICO HIDRATANTE 250ML,Bruno Vassary,2,1,23.00,31.60,28.44,27.02
PV,Hair Salon,B DRM BAIN RICHE DERMO CALM HTETOLER 250ML V267,KERASTASE,2,1,22.80,36.90,33.21,31.55
PV,Hair Salon,BAIN CLARIFIANT 250ML SPECIFIQUE,KERASTASE,4,1,21.90,35.44,31.90,30.30
PV,Hair Salon,BAIN DENSIFIQUE 250ML A21,KERASTASE,3,1,21.90,35.44,31.90,30.30
PV,Hair Salon,BAIN DIVALENT 250ML SPECIFIQUE,KERASTASE,4,1,22.80,36.90,33.21,31.55
PV,Hair Salon,BAIN PREVENTION 250ML SPECIFIQUE,KERASTASE,0,1,22.80,36.90,33.21,31.55
PV,Hair Salon,BAIN THERAPISTE 250ML A21,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,BAIN THERAPISTE 250ML A21,KERASTASE,3,1,21.90,35.44,31.90,30.30
PVC,SPA,BALANCE FLUID EMULSION HIDRATANTE PURIFICANTE 50ML,Bruno Vassary,2,1,31.00,42.60,38.34,36.42
PVC,SPA,BALANCING TONER LOCION ASTRINGENTE MATIFICANTE 250ml,Bruno Vassary,2,1,23.00,31.60,28.44,27.02
PC,Hair Salon,balm down,Otros,1,1,0,0,0,0
PC,Nail Bar,BANDEJAS DE MANOS GRANDES,Otros,3,1,0,0,0,0
PC,Nail Bar,BANDEJAS DE MANOS PEQUENNAS,Otros,3,1,0,0,0,0
PC,SPA,batas blancas mujer,Otros,3,1,0,0,0,0
PC,Hair Salon,BATAS DE BANNO,Otros,3,1,0,0,0,0
PC,Hair Salon,batidor de tinte,Otros,1,1,0,0,0,0
PC,Hair Salon,beard $ tattoo oil,Otros,1,1,0,0,0,0
PV,SPA,BIO DOUCE DESMAQUILLADOR DE OJOS 150ML,Bruno Vassary,1,1,13.00,17.86,16.08,15.27
PVC,SPA,BIO DOUCE DESMAQUILLADOR DE OJOS 150ML,Bruno Vassary,2,1,13.00,17.86,16.08,15.27
PVC,SPA,BIO TENS TENSOR DE BELLEZA INMEDIATO 1 UNIDAD,Bruno Vassary,2,1,12.00,16.49,14.84,14.10
PC,Hair Salon,BLOND STUDIO 20 VOL ,LOREAL,1,2,18.30,0.00,0.00,0.00
PC,Hair Salon,BLOND STUDIO 30 VOL,LOREAL,2,2,18.30,0.00,0.00,0.00
PC,Hair Salon,BLOND STUDIO 40 VOL,LOREAL,3,2,18.30,0.00,0.00,0.00
PC,Hair Salon,BOLW TINTE,Otros,4,1,0,0.00,0.00,0.00
PC,SPA,BOWL GRANDE dermalia,Otros,1,1,0,0.00,0.00,0.00
PVC,SPA,BRIGHTENING LOTION TONICO CLARIFICANTE CON VIT C 250ML,Bruno Vassary,2,1,25.00,34.35,30.92,29.37
PC,Nail Bar,BRILLIANCE CAPA FINAL PARA UNNAS red carpet,Otros,2,1,0,0,0,0
PC,Nail Bar,BROCHAS DE ACRILICO,Otros,1,1,0,0,0,0
PC,Nail Bar,BROCHAS DE ACRILICO,Otros,2,1,0,0,0,0
PC,Hair Salon,brochas de tinte,Otros,2,1,0,0,0,0
PC,Nail Bar,BROCHAS PARA GEL Y ACRIGEL,Otros,3,1,0,0,0,0
PC,Nail Bar,BROCHAS PARA TINTE,Otros,3,1,0,0,0,0
PVC,SPA,C+C SYNERGY SERUM (SERUM ALISADOR E HIDRATANTE) 3X7ML,Bruno Vassary,2,1,44.00,60.46,54.41,51.69
PC,Hair Salon,CAJA DE GUANTES,Otros,1,1,0,0,0,0
